lowerBound,upperBound,HourOfDay,BucketMinuteOfHour,DayOfWeek,combo
0,0,00,00,Friday,"34.193.54.29:8088-httpevent-main"
0,0,00,00,Friday,"splunkes01-ess_content_importer-main"
"307.895043757230900","382.104956242769100",00,00,Friday,"splunkes01-stream:ip-main"
15,15,00,00,Friday,"splunksearch01-exec-main"
15,15,00,00,Friday,"splunksearch02-exec-main"
0,0,00,00,Friday,"splunksearch02-stash-main"
15,15,00,00,Friday,"splunksearch03-exec-main"
"341.1421705056426","1582.8578294943572",00,00,Friday,"usesplunkdeploy01-stream:ip-main"
0,0,00,00,Friday,"usesplunkfwd01-detectify_findings-main"
15,15,00,00,Friday,"usesplunkfwd01-exec-main"
0,0,00,00,Monday,"34.193.54.29:8088-httpevent-main"
0,0,00,00,Monday,"splunkes01-ess_content_importer-main"
"133.76302642431685","552.23697357568310",00,00,Monday,"splunkes01-stream:ip-main"
5,25,00,00,Monday,"splunksearch01-exec-main"
5,25,00,00,Monday,"splunksearch02-exec-main"
0,0,00,00,Monday,"splunksearch02-stash-main"
"5.666666666666668","24.333333333333332",00,00,Monday,"splunksearch03-exec-main"
"153.11355890566188","1746.88644109433810",00,00,Monday,"usesplunkdeploy01-stream:ip-main"
0,0,00,00,Monday,"usesplunkfwd01-detectify_findings-main"
5,25,00,00,Monday,"usesplunkfwd01-exec-main"
0,0,00,00,Saturday,"34.193.54.29:8088-httpevent-main"
0,0,00,00,Saturday,"splunkes01-ess_content_importer-main"
"307.07876833339550","402.92123166660450",00,00,Saturday,"splunkes01-stream:ip-main"
15,15,00,00,Saturday,"splunksearch01-exec-main"
15,15,00,00,Saturday,"splunksearch02-exec-main"
0,0,00,00,Saturday,"splunksearch02-stash-main"
15,15,00,00,Saturday,"splunksearch03-exec-main"
"146.60022376930010","1755.39977623070000",00,00,Saturday,"usesplunkdeploy01-stream:ip-main"
0,0,00,00,Saturday,"usesplunkfwd01-detectify_findings-main"
15,15,00,00,Saturday,"usesplunkfwd01-exec-main"
0,0,00,00,Sunday,"34.193.54.29:8088-httpevent-main"
0,0,00,00,Sunday,"splunkes01-ess_content_importer-main"
"311.159182642904970","366.840817357095030",00,00,Sunday,"splunkes01-stream:ip-main"
15,15,00,00,Sunday,"splunksearch01-exec-main"
15,15,00,00,Sunday,"splunksearch02-exec-main"
0,0,00,00,Sunday,"splunksearch02-stash-main"
15,15,00,00,Sunday,"splunksearch03-exec-main"
"356.36262806801610","1577.63737193198400",00,00,Sunday,"usesplunkdeploy01-stream:ip-main"
0,0,00,00,Sunday,"usesplunkfwd01-detectify_findings-main"
15,15,00,00,Sunday,"usesplunkfwd01-exec-main"
0,0,00,00,Thursday,"34.193.54.29:8088-httpevent-main"
0,0,00,00,Thursday,"splunkes01-ess_content_importer-main"
"314.14322344563175","369.85677655436825",00,00,Thursday,"splunkes01-stream:ip-main"
15,15,00,00,Thursday,"splunksearch01-exec-main"
15,15,00,00,Thursday,"splunksearch02-exec-main"
0,0,00,00,Thursday,"splunksearch02-stash-main"
15,15,00,00,Thursday,"splunksearch03-exec-main"
"349.1441391111782","1590.8558608888218",00,00,Thursday,"usesplunkdeploy01-stream:ip-main"
0,0,00,00,Thursday,"usesplunkfwd01-detectify_findings-main"
"14.3333333333333230","15.6666666666666770",00,00,Thursday,"usesplunkfwd01-exec-main"
0,0,00,00,Tuesday,"34.193.54.29:8088-httpevent-main"
0,0,00,00,Tuesday,"splunkes01-ess_content_importer-main"
"308.241414001259100","425.758585998740900",00,00,Tuesday,"splunkes01-stream:ip-main"
15,15,00,00,Tuesday,"splunksearch01-exec-main"
15,15,00,00,Tuesday,"splunksearch02-exec-main"
0,0,00,00,Tuesday,"splunksearch02-stash-main"
15,15,00,00,Tuesday,"splunksearch03-exec-main"
"361.73957606864610","1678.26042393135400",00,00,Tuesday,"usesplunkdeploy01-stream:ip-main"
0,0,00,00,Tuesday,"usesplunkfwd01-detectify_findings-main"
15,15,00,00,Tuesday,"usesplunkfwd01-exec-main"
